Spam URL,Classification,Old status,New status,In sitemap
https://insertshub.com/category/1/,Injected doorway category archive,200,410 Gone,no
https://insertshub.com/category/25/,Injected doorway category archive,200,410 Gone,no
https://insertshub.com/category/adobe-generative-ai-3-2/,Injected doorway category archive,200,410 Gone,no
https://insertshub.com/category/adobe-generative-ai-8-2/,Injected doorway category archive,200,410 Gone,no
https://insertshub.com/category/bez-rubriki/,Injected doorway category archive,200,410 Gone,no
https://insertshub.com/category/blog/,Injected doorway category archive,200,410 Gone,no
https://insertshub.com/category/boaboa-pt/,Injected doorway category archive,200,410 Gone,no
https://insertshub.com/category/botteganapule-com/,Injected doorway category archive,200,410 Gone,no
https://insertshub.com/category/casino/,Injected doorway category archive,410,410 Gone,no
https://insertshub.com/category/casino-online-2/,Injected doorway category archive,410,410 Gone,no
https://insertshub.com/category/casino1/,Injected doorway category archive,410,410 Gone,no
https://insertshub.com/category/casino2/,Injected doorway category archive,410,410 Gone,no
https://insertshub.com/category/casino3/,Injected doorway category archive,410,410 Gone,no
https://insertshub.com/category/casino4/,Injected doorway category archive,410,410 Gone,no
https://insertshub.com/category/cmgv-es/,Injected doorway category archive,200,410 Gone,no
https://insertshub.com/category/computers-games/,Injected doorway category archive,200,410 Gone,no
https://insertshub.com/category/crobar-co-uk-2/,Injected doorway category archive,200,410 Gone,no
https://insertshub.com/category/forex-news/,Injected doorway category archive,200,410 Gone,no
https://insertshub.com/category/melhorcasinoonlineportugal-com/,Injected doorway category archive,410,410 Gone,no
https://insertshub.com/category/montecatini-cl/,Injected doorway category archive,200,410 Gone,no
https://insertshub.com/category/my-texts/,Injected doorway category archive,200,410 Gone,no
https://insertshub.com/category/new-casino/,Injected doorway category archive,410,410 Gone,no
https://insertshub.com/category/news/,Injected doorway category archive,200,410 Gone,no
https://insertshub.com/category/om/,Injected doorway category archive,200,410 Gone,no
https://insertshub.com/category/om-cc/,Injected doorway category archive,200,410 Gone,no
https://insertshub.com/category/papeleriaeliris-com-mx/,Injected doorway category archive,200,410 Gone,no
https://insertshub.com/category/public/,Injected doorway category archive,200,410 Gone,no
https://insertshub.com/category/sanodelucas-cl/,Injected doorway category archive,200,410 Gone,no
https://insertshub.com/category/spiele/,Injected doorway category archive,200,410 Gone,no
https://insertshub.com/category/test/,Injected doorway category archive,200,410 Gone,no
https://insertshub.com/category/top-casinos/,Injected doorway category archive,410,410 Gone,no
https://insertshub.com/category/top-kasyno/,Injected doorway category archive,200,410 Gone,no
https://insertshub.com/category/uncategorized/,Injected doorway category archive,200,410 Gone,no
