Source URL,Destination URL,Anchor,Section heading,Link type,Destination status (old site),Destination survives,Final disposition,Replacement URL,Reason
https://insertshub.com/product/custom-foam-inserts/,https://insertshub.com/product/custom-boxes-with-foam-inserts/,Custom Boxes With Foam Inserts,Custom Foam Inserts For Clean And Secure Packing,contextual,200,yes,preserved,https://insertshub.com/product/custom-boxes-with-foam-inserts/,Destination page exists in the Astro build at the same URL.
https://insertshub.com/product/custom-foam-inserts/,https://insertshub.com/product-category/product/,Product box inserts,Smarter Cushioning For Fragile Items,contextual,200,yes,preserved,https://insertshub.com/product-category/product/,Destination page exists in the Astro build at the same URL.
https://insertshub.com/product/custom-foam-inserts/,https://insertshub.com/,Inserts Hub,Bulk Foam Insert Planning,contextual,200,yes,preserved,https://insertshub.com/,Destination page exists in the Astro build at the same URL.
https://insertshub.com/product/cupcake-boxes-with-inserts/,https://insertshub.com/product/truffle-boxes-with-inserts/,Truffle Boxes With Inserts,Cupcake Boxes With Inserts For Neat Bakery Packing,contextual,200,yes,preserved,https://insertshub.com/product/truffle-boxes-with-inserts/,Destination page exists in the Astro build at the same URL.
https://insertshub.com/product/cupcake-boxes-with-inserts/,https://insertshub.com/product-category/product/,Product insert options,Packaging That Supports Daily Bakery Work,contextual,200,yes,preserved,https://insertshub.com/product-category/product/,Destination page exists in the Astro build at the same URL.
https://insertshub.com/product/cupcake-boxes-with-inserts/,https://insertshub.com/,Inserts Hub,Finish Options For Bakery Cupcake Packaging,contextual,200,yes,preserved,https://insertshub.com/,Destination page exists in the Astro build at the same URL.
https://insertshub.com/product/cardboard-box-inserts/,https://insertshub.com/product/custom-paperboard-inserts/,Custom Paperboard Inserts,Cardboard Box Inserts For Organized Product Packing,contextual,200,yes,preserved,https://insertshub.com/product/custom-paperboard-inserts/,Destination page exists in the Astro build at the same URL.
https://insertshub.com/product/cardboard-box-inserts/,https://insertshub.com/product-category/product/,Product insert options,Why Box Insert Size Matters,contextual,200,yes,preserved,https://insertshub.com/product-category/product/,Destination page exists in the Astro build at the same URL.
https://insertshub.com/product/cardboard-box-inserts/,https://insertshub.com/,Inserts Hub,Die-Cut Cardboard Inserts For Shaped Products,contextual,200,yes,preserved,https://insertshub.com/,Destination page exists in the Astro build at the same URL.
https://insertshub.com/product/box-divider-inserts/,https://insertshub.com/product/cardboard-divider-inserts/,Cardboard Divider Inserts,Box Divider Inserts For Cleaner Product Separation,contextual,200,yes,preserved,https://insertshub.com/product/cardboard-divider-inserts/,Destination page exists in the Astro build at the same URL.
