Source URL,Old destination,Final disposition,Replacement URL,Link type,Reason
https://insertshub.com/product/custom-foam-inserts/,https://insertshub.com/product/custom-boxes-with-foam-inserts/,preserved,https://insertshub.com/product/custom-boxes-with-foam-inserts/,contextual,Legitimate contextual link preserved unchanged.
https://insertshub.com/product/custom-foam-inserts/,https://insertshub.com/product-category/product/,preserved,https://insertshub.com/product-category/product/,contextual,Legitimate contextual link preserved unchanged.
https://insertshub.com/product/custom-foam-inserts/,https://insertshub.com/,preserved,https://insertshub.com/,contextual,Legitimate contextual link preserved unchanged.
https://insertshub.com/product/cupcake-boxes-with-inserts/,https://insertshub.com/product/truffle-boxes-with-inserts/,preserved,https://insertshub.com/product/truffle-boxes-with-inserts/,contextual,Legitimate contextual link preserved unchanged.
https://insertshub.com/product/cupcake-boxes-with-inserts/,https://insertshub.com/product-category/product/,preserved,https://insertshub.com/product-category/product/,contextual,Legitimate contextual link preserved unchanged.
https://insertshub.com/product/cupcake-boxes-with-inserts/,https://insertshub.com/,preserved,https://insertshub.com/,contextual,Legitimate contextual link preserved unchanged.
https://insertshub.com/product/cardboard-box-inserts/,https://insertshub.com/product/custom-paperboard-inserts/,preserved,https://insertshub.com/product/custom-paperboard-inserts/,contextual,Legitimate contextual link preserved unchanged.
https://insertshub.com/product/cardboard-box-inserts/,https://insertshub.com/product-category/product/,preserved,https://insertshub.com/product-category/product/,contextual,Legitimate contextual link preserved unchanged.
https://insertshub.com/product/cardboard-box-inserts/,https://insertshub.com/,preserved,https://insertshub.com/,contextual,Legitimate contextual link preserved unchanged.
https://insertshub.com/product/box-divider-inserts/,https://insertshub.com/product/cardboard-divider-inserts/,preserved,https://insertshub.com/product/cardboard-divider-inserts/,contextual,Legitimate contextual link preserved unchanged.
https://insertshub.com/product/box-divider-inserts/,https://insertshub.com/product-category/product/,preserved,https://insertshub.com/product-category/product/,contextual,Legitimate contextual link preserved unchanged.
https://insertshub.com/product/box-divider-inserts/,https://insertshub.com/,preserved,https://insertshub.com/,contextual,Legitimate contextual link preserved unchanged.
https://insertshub.com/product/candle-boxes-with-inserts/,https://insertshub.com/product/mailer-box-inserts/,preserved,https://insertshub.com/product/mailer-box-inserts/,contextual,Legitimate contextual link preserved unchanged.
https://insertshub.com/product/candle-boxes-with-inserts/,https://insertshub.com/product-category/product/,preserved,https://insertshub.com/product-category/product/,contextual,Legitimate contextual link preserved unchanged.
https://insertshub.com/product/candle-boxes-with-inserts/,https://insertshub.com/,preserved,https://insertshub.com/,contextual,Legitimate contextual link preserved unchanged.
https://insertshub.com/product/mailer-box-inserts/,https://insertshub.com/product/pizza-box-inserts/,preserved,https://insertshub.com/product/pizza-box-inserts/,contextual,Legitimate contextual link preserved unchanged.
https://insertshub.com/product/mailer-box-inserts/,https://insertshub.com/product-category/product/,preserved,https://insertshub.com/product-category/product/,contextual,Legitimate contextual link preserved unchanged.
https://insertshub.com/product/mailer-box-inserts/,https://insertshub.com/,preserved,https://insertshub.com/,contextual,Legitimate contextual link preserved unchanged.
https://insertshub.com/product/candy-box-inserts/,https://insertshub.com/product/chocolate-box-inserts/,preserved,https://insertshub.com/product/chocolate-box-inserts/,contextual,Legitimate contextual link preserved unchanged.
https://insertshub.com/product/candy-box-inserts/,https://insertshub.com/product-category/product/,preserved,https://insertshub.com/product-category/product/,contextual,Legitimate contextual link preserved unchanged.
https://insertshub.com/product/candy-box-inserts/,https://insertshub.com/,preserved,https://insertshub.com/,contextual,Legitimate contextual link preserved unchanged.
https://insertshub.com/product/mini-cupcake-inserts/,https://insertshub.com/product/cupcake-boxes-with-inserts/,preserved,https://insertshub.com/product/cupcake-boxes-with-inserts/,contextual,Legitimate contextual link preserved unchanged.
https://insertshub.com/product/mini-cupcake-inserts/,https://insertshub.com/product-category/product/,preserved,https://insertshub.com/product-category/product/,contextual,Legitimate contextual link preserved unchanged.
https://insertshub.com/product/mini-cupcake-inserts/,https://insertshub.com/,preserved,https://insertshub.com/,contextual,Legitimate contextual link preserved unchanged.
https://insertshub.com/product/custom-cardboard-inserts/,https://insertshub.com/product/candle-boxes-with-inserts/,preserved,https://insertshub.com/product/candle-boxes-with-inserts/,contextual,Legitimate contextual link preserved unchanged.
https://insertshub.com/product/custom-cardboard-inserts/,https://insertshub.com/product-category/product/,preserved,https://insertshub.com/product-category/product/,contextual,Legitimate contextual link preserved unchanged.
https://insertshub.com/product/custom-cardboard-inserts/,https://insertshub.com/,preserved,https://insertshub.com/,contextual,Legitimate contextual link preserved unchanged.
https://insertshub.com/product/cardboard-divider-inserts/,https://insertshub.com/product/mini-cupcake-inserts/,preserved,https://insertshub.com/product/mini-cupcake-inserts/,contextual,Legitimate contextual link preserved unchanged.
https://insertshub.com/product/cardboard-divider-inserts/,https://insertshub.com/product-category/product/,preserved,https://insertshub.com/product-category/product/,contextual,Legitimate contextual link preserved unchanged.
https://insertshub.com/product/cardboard-divider-inserts/,https://insertshub.com/,preserved,https://insertshub.com/,contextual,Legitimate contextual link preserved unchanged.
https://insertshub.com/product/pizza-box-inserts/,https://insertshub.com/product/cupcake-boxes-with-inserts/,preserved,https://insertshub.com/product/cupcake-boxes-with-inserts/,contextual,Legitimate contextual link preserved unchanged.
https://insertshub.com/product/pizza-box-inserts/,https://insertshub.com/product-category/product/,preserved,https://insertshub.com/product-category/product/,contextual,Legitimate contextual link preserved unchanged.
https://insertshub.com/product/pizza-box-inserts/,https://insertshub.com/,preserved,https://insertshub.com/,contextual,Legitimate contextual link preserved unchanged.
https://insertshub.com/product/chocolate-box-inserts/,https://insertshub.com/product/cookie-boxes-with-inserts/,preserved,https://insertshub.com/product/cookie-boxes-with-inserts/,contextual,Legitimate contextual link preserved unchanged.
https://insertshub.com/product/chocolate-box-inserts/,https://insertshub.com/product-category/product/,preserved,https://insertshub.com/product-category/product/,contextual,Legitimate contextual link preserved unchanged.
https://insertshub.com/product/chocolate-box-inserts/,https://insertshub.com/,preserved,https://insertshub.com/,contextual,Legitimate contextual link preserved unchanged.
https://insertshub.com/product/foam-inserts-for-gift-boxes/,https://insertshub.com/product/mailer-box-inserts/,preserved,https://insertshub.com/product/mailer-box-inserts/,contextual,Legitimate contextual link preserved unchanged.
https://insertshub.com/product/foam-inserts-for-gift-boxes/,https://insertshub.com/product-category/product/,preserved,https://insertshub.com/product-category/product/,contextual,Legitimate contextual link preserved unchanged.
https://insertshub.com/product/foam-inserts-for-gift-boxes/,https://insertshub.com/,preserved,https://insertshub.com/,contextual,Legitimate contextual link preserved unchanged.
https://insertshub.com/product/cookie-boxes-with-inserts/,https://insertshub.com/product/truffle-boxes-with-inserts/,preserved,https://insertshub.com/product/truffle-boxes-with-inserts/,contextual,Legitimate contextual link preserved unchanged.
https://insertshub.com/product/cookie-boxes-with-inserts/,https://insertshub.com/product-category/product/,preserved,https://insertshub.com/product-category/product/,contextual,Legitimate contextual link preserved unchanged.
https://insertshub.com/product/cookie-boxes-with-inserts/,https://insertshub.com/,preserved,https://insertshub.com/,contextual,Legitimate contextual link preserved unchanged.
https://insertshub.com/product/truffle-boxes-with-inserts/,https://insertshub.com/product/mini-cupcake-inserts/,preserved,https://insertshub.com/product/mini-cupcake-inserts/,contextual,Legitimate contextual link preserved unchanged.
https://insertshub.com/product/truffle-boxes-with-inserts/,https://insertshub.com/product-category/product/,preserved,https://insertshub.com/product-category/product/,contextual,Legitimate contextual link preserved unchanged.
https://insertshub.com/product/truffle-boxes-with-inserts/,https://insertshub.com/,preserved,https://insertshub.com/,contextual,Legitimate contextual link preserved unchanged.
https://insertshub.com/product/custom-paperboard-inserts/,https://insertshub.com/product/custom-cardboard-inserts/,preserved,https://insertshub.com/product/custom-cardboard-inserts/,contextual,Legitimate contextual link preserved unchanged.
https://insertshub.com/product/custom-paperboard-inserts/,https://insertshub.com/product-category/product/,preserved,https://insertshub.com/product-category/product/,contextual,Legitimate contextual link preserved unchanged.
https://insertshub.com/product/custom-paperboard-inserts/,https://insertshub.com/product-category/product/,preserved,https://insertshub.com/product-category/product/,contextual,Legitimate contextual link preserved unchanged.
https://insertshub.com/product/custom-paperboard-inserts/,https://insertshub.com/,preserved,https://insertshub.com/,contextual,Legitimate contextual link preserved unchanged.
https://insertshub.com/product/custom-paperboard-inserts/,(second link in paragraph),removed,,contextual,Removed to honour the one-contextual-link-per-paragraph rule.
https://insertshub.com/product/custom-corrugated-cardboard-inserts/,https://insertshub.com/product/custom-cardboard-inserts/,preserved,https://insertshub.com/product/custom-cardboard-inserts/,contextual,Legitimate contextual link preserved unchanged.
https://insertshub.com/product/custom-corrugated-cardboard-inserts/,https://insertshub.com/product-category/product/,preserved,https://insertshub.com/product-category/product/,contextual,Legitimate contextual link preserved unchanged.
https://insertshub.com/product/custom-corrugated-cardboard-inserts/,https://insertshub.com/,preserved,https://insertshub.com/,contextual,Legitimate contextual link preserved unchanged.
https://insertshub.com/product/custom-kraft-paper-inserts/,https://insertshub.com/product/cardboard-box-inserts/,preserved,https://insertshub.com/product/cardboard-box-inserts/,contextual,Legitimate contextual link preserved unchanged.
https://insertshub.com/product/custom-kraft-paper-inserts/,https://insertshub.com/product-category/product/,preserved,https://insertshub.com/product-category/product/,contextual,Legitimate contextual link preserved unchanged.
https://insertshub.com/product/custom-kraft-paper-inserts/,https://insertshub.com/,preserved,https://insertshub.com/,contextual,Legitimate contextual link preserved unchanged.
